Problema	Etiqueta de Reclamo
"TERMO 45 L GN (U.) GAS - Termo a gas "" EL EQUIPO PIERDE AGUA POR DENTRO, INCLUSO LO FALLA ES DE ANTES DE ENCENDERLO POR PRIMERA VEZ."	C - Pérdidas de agua
"TERMO ELECTRICO EL-55 ELE - Termo eléctrico "" PIERDE AGUA. POR FAVOR AVISAR HORARIO DE LA VISITA"	C - Pérdidas de agua
"COCINA PALACE CRISTAL BLACK LX S2 (GN) (U.) GN - Gas Natural "" LAS VISAGRAS FALLARON Y SE ROMPIERON"	E - Puerta de horno - No cierra / Se cae
"TERMO 80 L GN (U.) GAS - Termo a gas "" NO SE MANTIENE PRENDIDO. ( SE APAGA)"	E - Piloto se apaga
"TERMO ELECTRICO EL-90 ELE - Termo eléctrico "" TIENE UNA PERDIDA EN EL TANQUE Y CADA VEZ MÁS MARCADA. ESPERO COMUNICACIÓN. MUCHAS GRACIAS!"	C - Pérdidas de agua
"COCINA CANDOR S2 (GN) (U.) GN - Gas Natural "" PUERTA DEL HORNO TRABADA"	E - Puerta de horno - No cierra / Se cae
"COCINA MASTER S2 BL CLASSIC. (GN.) (U.) GN - Gas Natural "" NO ENCIENDEN 3 HORNALLAS"	D1 - Hornalla No enciende
"COCINA PALACE CRISTAL BLACK LX S2 (GN) (U.) GN - Gas Natural """	D2 - Hornalla Mal funcionamiento
"COCINA MASTER S2 NEG.CLASSIC (GN) (U.) GN - Gas Natural "" LA HORNALLA DERECHA TRASERA NO QUEDA ENCENDIDA. MIENTRAS TENGO PRESIONADA LA PERILLA PERMANECE PRENDIDA PERO NI BIEN LA SUELTO SE APAGA, NO IMPORTA EL TIEMPO QUE TRANSCURRA. LO PUEDO TENER APRETADO 5 MINUTOS Y AL SOLTAR LA PERILLA SE APAGA INMEDIATAMENTE."	D3 - Hornalla Se Apaga
"COCINA MASTER S2 NEG.CLASSIC (GN) (U.) GN - Gas Natural "" PERDIDA DE GAS EN EL HORNO"	B2 - Pérdidas de gas sin piezas dañadas
"TERMO ELECTRICO EL-55 ELE - Termo eléctrico "" INSTALACION DE NUEVA UNIDAD"	D - No enciende
"TERMO 45 L GN (U.) GAS - Termo a gas """	E - Piloto se apaga
"COCINA MASTER STYLE INOX. MULTIGAS (U.) MG - Multi Gas "" EL ENCENDIDO DE UNA DE LAS HORNALLAS NO DEJA DE HACER RUIDO, HACE UNA SEMANA QUE LO COMPRE , DOS DÍAS DE INSTALADO, SIEMPRE HIZO LO MISMO."	D3 - Hornalla Se Apaga
"TERMO ELECTRICO EL-90 ELE - Termo eléctrico "" NO FUNCIONA!"	D - No enciende
"COCINA CANDOR S2 BLACK GL (U.) GE - Gas Envasado "" BISAGRAS ROTAS, NO CIERRA LA PUERTA"	E - Puerta de horno - No cierra / Se cae
"COCINA CANDOR S2 BLACK (GN) (U.) GN - Gas Natural "" COMPRÉ 2 COCINAS, AMBAS TIENEN PROBLEMAS CON LAS TERMOCUPLAS, DE UNA HORNALLAS Y DEL HORNO EN LAS DOS. UNA NO SE PUEDE PRENDER, LAS OTRAS SE APAGA CUANDO ESTÁ PRENDIDA."	D3 - Hornalla Se Apaga
